,,,,,
,MIRADORE EXPERIENCES — RIYADH,,,,,
,,,,,
,QUOTATION — REVISED SCOPE,,,,,
,"GUINNESS WORLD RECORD CEREMONY — CLOCK TOWER MUSEUM",,,,,
,,,,,
,TO:,,,FROM:,
,"CLIENT: Clock Tower Museum (متحف برج الساعة)",,,Miradore Experiences — Riyadh,
,,,,,,
,"EVENT: Guinness World Record Award Ceremony",,,,,
,"VENUE: Clock Tower Museum — Makkah",,,,,
,QUOTATION DATE: 01 April 2026,,,,,
,,,,,
,,,,,
S#,DESCRIPTION,QTY,DAYS,RATE (SAR),AMOUNT (SAR),
,,,,,
,SECTION A: BRANDING & DISPLAY,,,,,
1,"Lama Stands — Printed Display Stands (Hall & Balcony, Reception/Introduction)",5,1,550,"2,750",
,Section A Subtotal,,,,"2,750",
,,,,,
,SECTION B: STAGE & SCREENS,,,,,
2,"LED Screen — Hall Center (10m x 4m = 40 sqm)",40,1,420,"16,800",
,Section B Subtotal,,,,"16,800",
,,,,,
,SECTION C: HOSPITALITY,,,,,
3,"Saudi Hospitality — Inside the Hall (ضيافة سعودية بالقاعة)",1,1,"9,000","9,000",
4,"Saudi Hospitality — Balcony (ضيافة بالشرفة)",1,1,"9,000","9,000",
,Section C Subtotal,,,,"18,000",
,,,,,
,SECTION D: EVENT SERVICES & PERSONNEL,,,,,
5,"Event MC / Host (مقدم الحفل)",1,1,"10,000","10,000",
6,"Media Coverage — Photography & Videography (التغطية الاعلامية)",1,1,"6,500","6,500",
7,"Event Organizers / Coordinators (منظمين)",3,1,"1,200","3,600",
,Section D Subtotal,,,,"20,100",
,,,,,
,,,,,
,COST SUMMARY,,,,,
,"Services Total (Sections A–D)",,,,"57,650",
,"AGENCY COMMISSION (7%)",,,,"4,035.50",
,"SUBTOTAL BEFORE VAT",,,,"61,685.50",
,"VAT (15%)",,,,"9,252.83",
,"GRAND TOTAL (INCLUSIVE OF VAT)",,,,"70,938.33",
,,,,,
,,,,,
,PAYMENT TERMS,,,,,
,"80% Advance Payment — 20% After the Event",,,,,
,,,,,
,NOTES,,,,,
,"1. All prices are in Saudi Riyals (SAR).",,,,,
,"2. Lama stands are printed physical display stands for reception and introduction areas.",,,,,
,"3. LED screen priced at 420 SAR per sqm (10m x 4m = 40 sqm center screen).",,,,,
,"4. Saudi hospitality quoted separately for the hall and balcony areas.",,,,,
,"5. Media coverage includes both photography and videography.",,,,,
,"6. Any additional requirements beyond this scope will be quoted separately.",,,,,
,"7. This quotation is valid for 30 days from the date of issue.",,,,,
,,,,,
,,,,,
,ADEEL AHMED — DIRECTOR,,,,,
,"Miradore Experiences, Riyadh",,,,,
